N,Nombre del Negocio,Categoria,Direccion,Instagram,WhatsApp_Telefono,Link_contacto,Calificacion,Motivo_calificacion,Mensaje_Instagram,Mensaje_WhatsApp,Estado_lead,Fecha_contacto,Notas
53,Jardinería y Paisajismo Tigre,Paisajismo,"Alberdi 700, Rincón de Milberg, Tigre",-,-,-,Media,Servicio de jardinería y paisajismo en Rincón de Milberg,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me gustó mucho la propuesta de Jardinería y Paisajismo Tigre con los espacios verdes y el paisajismo, sentimos que hay mucha sintonía con lo que proponemos, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me gustó mucho la propuesta de Jardinería y Paisajismo Tigre con los espacios verdes y el paisajismo, sentimos que hay mucha sintonía con lo que proponemos, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
54,Bulonera La.Ca,Ferretería,"Av. Gral. J.D. Perón, Benavídez, Tigre",-,+543327480344,-,Baja,Bulonería y ferretería en avenida principal. Confirmar si vende jardín,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Bulonera La.Ca la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Bulonera La.Ca la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Número inválido,,WhatsApp no funciona (intento 2026-04-20)
55,Corralón Ferreyra,Corralón,"Troncos del Talar, Tigre",-,+541130570527,https://www.volquetesycorralonferreira.com/,Media,Corralón de materiales y volquetes. Podría sumar kits en mostrador,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Corralón Ferreyra y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Corralón Ferreyra y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
56,Vivero Hisaki,Vivero,"San Martín 1305, Belén de Escobar",@viverohisaki,+5491126794886,https://instagram.com/viverohisaki,Alta,Vivero histórico en Escobar. Plantas interior/exterior e insumos de jardinería. IG activo,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Hisaki con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Hisaki con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Respondió,2026-04-20,"2026-04-20: Preguntó por info, le pasé link al perfil pero no contestó más. FOLLOW-UP suave en 5 días."
57,Vivero Holandés,Vivero mayorista,Belén de Escobar,@viveroholandes,+5491168915124,https://instagram.com/viveroholandes,Alta,"Vivero mayorista. Plantas de interior, plantines, aromáticas, arbustos, insumos de jardinería","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Holandés con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Holandés con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
58,Vivero Kogiso,Vivero mayorista,"Cabildo 1390, Garín, Escobar",-,+543327456557,-,Alta,Vivero mayorista desde 1954. Orquídeas y potus. Relación B2B ideal,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Kogiso con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Kogiso con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Número inválido,,WhatsApp no funciona (intento 2026-04-20)
59,Vivero Sileoni,Vivero mayorista,"Las Azucenas 2505, Belén de Escobar",-,+5491133647000,-,Alta,Vivero mayorista en Escobar. Venta al por mayor,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Sileoni con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Sileoni con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
60,Vivero Cítrico San Felipe BA,Vivero mayorista,"Av. Los Inmigrantes 1360, Belén de Escobar",@viverocitricosanfelipe.bsas,+5491161973473,https://instagram.com/viverocitricosanfelipe.bsas,Alta,Vivero mayorista con 12K seguidores. 90+ años. Familia citrícola. Contacto: Esteban,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Cítrico San Felipe BA con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Cítrico San Felipe BA con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Reunión agendada,2026-04-20,"2026-04-20: Contacto con Esteban Lescano, interesado. Reunión coordinada para 2026-04-21 presentando huertas en el local."
61,Vivero Rodriguez,Vivero,"Los Lazaristas 1400, Belén de Escobar",-,-,-,Alta,Vivero grande y florería en Escobar. Todo tipo de plantas,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Rodriguez con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Rodriguez con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
62,Escobar Growshop,Growshop,Belén de Escobar,@escobar_growshop,+5491157820615,https://instagram.com/escobar_growshop,Alta,"Growshop con 3.5K seguidores. Aditivos, sustratos, parafernalia","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Escobar Growshop con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Escobar Growshop con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
63,Maschwitz Grow,Growshop,"Córdoba 1243, Ing. Maschwitz, Escobar",@maschwitzgrow,+5491160037025,https://instagram.com/maschwitzgrow,Alta,Growshop en Maschwitz. L-S 11-19hs. IG y WA activos,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Maschwitz Grow con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Maschwitz Grow con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
64,Grow Shopping Pilar,Growshop,"Maquinista Savio, Escobar",@growshopping.ar,+5491160187605,https://instagram.com/growshopping.ar,Alta,Growshop con consultoría gratuita. Zona Escobar/Pilar,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Grow Shopping Pilar con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Grow Shopping Pilar con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
65,Dietéticas Tomy Garín,Dietética,"Av. Patricias Argentinas 591, Garín, Escobar",@dieteticastomy,-,https://instagram.com/dieteticastomy,Media,Cadena de dietéticas. Sucursal Garín. L-S 9-20hs. Venta de naturales y orgánicos,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Dietéticas Tomy Garín y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Dietéticas Tomy Garín y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
66,Dietéticas Tomy Escobar,Dietética,"Tapia de Cruz 245, Belén de Escobar",@dieteticastomy,-,https://instagram.com/dieteticastomy,Media,Segunda sucursal en Escobar. L-V 7:30-13 y 16-20,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Dietéticas Tomy Escobar y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Dietéticas Tomy Escobar y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
67,Dietéticas Naturales Escobar,Dietética,Belén de Escobar,@dieteticasnaturales_,-,https://instagram.com/dieteticasnaturales_,Media,"Dietética de productos sin TACC, orgánicos, suplementos","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Dietéticas Naturales Escobar y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Dietéticas Naturales Escobar y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
68,Florería Interflor Escobar,Florería,Belén de Escobar,@floresinterflor,-,https://instagram.com/floresinterflor,Media,"Florería destacada en Escobar. Flores frescas, arreglos","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Florería Interflor Escobar y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Florería Interflor Escobar y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
69,Florería Godoy,Florería,Belén de Escobar,-,-,https://facebook.com/p/Floreria-Godoy-100048102313865,Media,Florería en Escobar. Solo Facebook,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Florería Godoy y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Florería Godoy y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
70,Ferretería El Molino,Ferretería,"Av. Villanueva 1750, Ing. Maschwitz, Escobar",-,+543484446514,-,Baja,Ferretería en Maschwitz. Confirmar si tiene sección jardín,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Ferretería El Molino la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Ferretería El Molino la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Número inválido,,WhatsApp no funciona (intento 2026-04-20)
71,Bulonera Industrial Garín,Ferretería,"Av. Fructuoso Díaz 489, Garín, Escobar",-,+543484470686,-,Baja,Bulonería industrial. Poco probable para kits de huerta,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Bulonera Industrial Garín la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Bulonera Industrial Garín la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Número inválido,,WhatsApp no funciona (intento 2026-04-20)
72,Ferretería Corralón Garay,Ferretería/Corralón,"Garay 3549, Escobar",@ferreteriacorralongaray,+541137645454,https://www.tiktok.com/@ferreteriacorralongaray,Media,"Ferretería y corralón. Tiene TikTok activo, público joven","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Ferretería Corralón Garay la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Ferretería Corralón Garay la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
73,Kazaru Deco,Decoración,Belén de Escobar,-,-,https://facebook.com/Decokazaru,Media,Tienda de decoración en Escobar. Facebook activo,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Kazaru Deco y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Kazaru Deco y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
74,Cultivo Urbano Maschwitz,Growshop,"Ing. Maschwitz, Escobar",-,+5491123091385,-,Alta,"Growshop en Maschwitz. Sustratos, fertilizantes, macetas","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Cultivo Urbano Maschwitz con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Cultivo Urbano Maschwitz con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Número inválido,,WhatsApp no funciona (intento 2026-04-20)
75,Distribuidora Escobar,Distribuidora,"Loma Verde, Escobar",-,+543484493350,https://distribuidoraescobar.com/,Media,Distribuidora en Loma Verde. Podría sumar kits a su catálogo,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Distribuidora Escobar y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Distribuidora Escobar y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Número inválido,,WhatsApp no funciona (intento 2026-04-20)
76,Vivero Green Project,Vivero/Florería,"Colectora Este Ramal Escobar 2505, Ing. Maschwitz",-,+541145267698,https://rincondelasflores.com.ar/floreria/vivero-green-project/,Alta,Vivero y florería en Maschwitz. Plantas de interior/exterior y arreglos florales,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Green Project con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Green Project con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
77,Vivero Rauscher,Vivero especializado,"Víctor Manuel II 375, Matheu, Escobar",@viverorauscher,+543488469111,https://www.facebook.com/viverorauscher/,Alta,Vivero con Parque de Cactus declarado de interés turístico provincial. Suculentas árboles y diseño de espacios verdes,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Rauscher con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Rauscher con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Número inválido,,WhatsApp no funciona (intento 2026-04-20)
78,El Almacén del Huillin,Tienda sustentable,"Aconquija 360, Ing. Maschwitz",-,+5491134854442,-,Alta,Vende árboles nativos compost humus y cosmética natural artesanal. Muy afín con público de huerta urbana,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la mirada sustentable que tienen en El Almacén del Huillin y sentimos que lo nuestro suma mucho a esa propuesta, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la mirada sustentable que tienen en El Almacén del Huillin y sentimos que lo nuestro suma mucho a esa propuesta, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
79,Área Verde Productos y Servicios,Vivero/Jardín,"Ruta 26 1576, Maquinista Savio",-,+54111553050936,-,Media,Productos y servicios de jardín en Maquinista Savio. Sin presencia online visible,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Área Verde Productos y Servicios con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Área Verde Productos y Servicios con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Número inválido,,WhatsApp no funciona (intento 2026-04-20)
